"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1964628169018990971","Mon Sep 08 23:55:29 +0000 2025","0","@lucykiess malah beli skincare","1965202360478892181","","lucykiess","in","","0","1","0","https://x.com/undefined/status/1965202360478892181","1824660921425309696",
"1965200126735258020","Mon Sep 08 23:46:36 +0000 2025","0","guys aku kan mau benerin skin barier-ku kira2 boleh saranin aku skincare apa yang harus aku pake kayak moots atau serum atau retinol gitu bingung mulainya dari mana ","1965200126735258020","","","in","","0","5","0","https://x.com/undefined/status/1965200126735258020","1281724698313633792",
"1965044145048928338","Mon Sep 08 23:45:57 +0000 2025","6","@kymtaa @somexthread Kak udah ga sanggup beli skincare sendiri yaa makanya jd buzzer? Alhamdulillah caiirr caiirr ","1965199961127354422","","kymtaa","in","","0","0","0","https://x.com/undefined/status/1965199961127354422","122265403",
"1965199871851544795","Mon Sep 08 23:45:35 +0000 2025","0","Storage nya muat banyak skincare &amp; bikin rapih jugaa","1965199871851544795","","","in","","0","0","0","https://x.com/undefined/status/1965199871851544795","1466569433598418948",
"1965199859415158904","Mon Sep 08 23:45:32 +0000 2025","66","{mu} guys buat masalah darkspot kusam PIH rangkaian skincare ini mantul ga? atau ada saran lain yang punya permasalahan sama? makasii https://t.co/fgwMnrWcSz","1965199859415158904","https://pbs.twimg.com/media/G0XK24fXIAA_xmN.jpg","","in","","0","10","2","https://x.com/undefined/status/1965199859415158904","866802272432300032",
"1965199278655373352","Mon Sep 08 23:43:14 +0000 2025","0","Yg lagi nyari skincare anti aging merapat siniii","1965199278655373352","","","in","","0","0","0","https://x.com/undefined/status/1965199278655373352","1466569433598418948",
"1965082614530019809","Mon Sep 08 23:40:40 +0000 2025","0","@cloudysnowys Repurchase cha ada beberapa yg mau habis skincare &amp; refill wardah cushion","1965198631633568005","","cloudysnowys","in","","0","0","0","https://x.com/undefined/status/1965198631633568005","920531541293330432",
"1965078164901892262","Mon Sep 08 23:35:10 +0000 2025","1","@n_ixxi_n @Agen_Jajan Daviena Skincare milik Melvina Husyanti pernah kontroversi sejak 2023 seperti tudingan pakai fake buyer &amp; money laundering (dari video viral). 2024: Ribut dengan Dr. Richard Lee soal kandungan hydroquinone &amp; overclaim di body lotion/HB Dosting; owner tolak &amp; klarifikasi. Juga","1965197247735628104","","n_ixxi_n","in","","0","1","0","https://x.com/undefined/status/1965197247735628104","1720665183188922368",
"1965078164901892262","Mon Sep 08 23:34:31 +0000 2025","0","@Agen_Jajan @grok daviena skincare pernah dihujat gara gara apa coba kronologi ribut ribut dengan orang lain apa saja","1965197084904358205","","Agen_Jajan","in","","0","1","0","https://x.com/undefined/status/1965197084904358205","69826708",
"1965196063935275082","Mon Sep 08 23:30:27 +0000 2025","1","New product make up / skincare yang worth it buat dibeli di 9.9 ini 1. Cushion barunya instaperfect https://t.co/P9nCEHxZnX https://t.co/ytPx9Y2QI6","1965196063935275082","https://pbs.twimg.com/media/G0XHZhBa8AASqhS.jpg","","in","","0","1","1","https://x.com/undefined/status/1965196063935275082","1692187690597584896",
"1965195853607629225","Mon Sep 08 23:29:37 +0000 2025","1","Wtb skincare/makeup dongg buat 9.9","1965195853607629225","","","in","","0","33","0","https://x.com/undefined/status/1965195853607629225","1591024967759851520",
